scenario,optimizer,learning_rate,batch_size,l2,seed,epochs,final_training_loss,initial_training_loss,loss_reduction,loss_roughness,convergence_epoch,best_loss_epoch,epoch_to_90pct_loss_reduction,runtime_seconds,test_accuracy,test_macro_f1,test_weighted_f1,positive_prediction_rate
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,0.41392604989827886,0.5927462318497181,0.17882018195143923,0.007221381859984787,,80,38.0,0.07087100017815828,0.8158602150537635,0.44929681717246484,0.7331267957625971,1.0
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,0.3699963404798379,0.4606086166311136,0.09061227615127565,0.0009620625952583689,,80,63.0,0.07262109988369048,0.8158602150537635,0.44929681717246484,0.7331267957625971,1.0
learning_rate_sensitivity,Batch GD,8.0,,0.0001,42,80,0.3407784236165196,0.5397153485794433,0.19893692496292364,0.01020541890068246,,80,51.0,0.07335479999892414,0.8225806451612904,0.4861770922713099,0.7488177398764442,0.9932795698924731
learning_rate_sensitivity,Batch GD,12.0,,0.0001,42,80,0.321989702779251,0.7342463089501043,0.41225660617085336,0.03125613006465849,,80,32.0,0.07375959982164204,0.834005376344086,0.5540169129344269,0.7772477489014153,0.9764784946236559
learning_rate_sensitivity,SGD,0.005,,0.0001,42,80,0.28177884417921345,0.436707540859596,0.15492869668038256,0.002305077357328791,,80,56.0,10.414523300016299,0.8655913978494624,0.7087150575522668,0.8437551307018675,0.918010752688172
learning_rate_sensitivity,SGD,0.02,,0.0001,42,80,0.2492037703675865,0.40321824261091854,0.15401447224333203,0.0036030712261910596,,79,35.0,10.659374200040475,0.894489247311828,0.8013102757906858,0.887265362375449,0.8689516129032258
learning_rate_sensitivity,SGD,0.05,,0.0001,42,80,0.24835225169401007,0.3730673026694482,0.12471505097543814,0.004502695944147716,,75,17.0,10.383839499903843,0.8985215053763441,0.8152454111070819,0.893603297606688,0.855510752688172
learning_rate_sensitivity,SGD,0.1,,0.0001,42,80,0.25080462961296135,0.3438863945791296,0.09308176496616827,0.004976909597225469,,55,9.0,10.565815099980682,0.9005376344086021,0.8226785662523712,0.8969052640889402,0.8467741935483871
learning_rate_sensitivity,Mini-batch GD,0.1,64.0,0.0001,42,80,0.33402663543042926,0.4590511966950521,0.12502456126462286,0.001819916282677841,,80,61.0,0.6654799999669194,0.8272849462365591,0.5105607709881165,0.7592831809576537,0.9885752688172043
learning_rate_sensitivity,Mini-batch GD,0.5,64.0,0.0001,42,80,0.2662208307018198,0.427159358599619,0.16093852789779922,0.0026689661883495326,,80,51.0,0.6537824999541044,0.8770161290322581,0.7507886695165847,0.8628319291433392,0.8958333333333334
