scenario,optimizer,learning_rate,batch_size,l2,seed,epochs,epoch,training_loss
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,1,0.5927462318497181
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,2,0.5383644649234242
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,3,0.5075494059969268
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,4,0.4891404203370648
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,5,0.4775678342831198
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,6,0.4699364659469806
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,7,0.46466899912019055
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,8,0.46086800698947483
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,9,0.4580034188943668
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,10,0.45575210965876783
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,11,0.4539118268702667
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,12,0.45235312800147814
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,13,0.4509915893431994
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,14,0.44977124403796975
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,15,0.4486544522521908
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,16,0.44761556577340167
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,17,0.4466368893277816
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,18,0.44570606359609216
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,19,0.44481434560441585
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,20,0.44395546519892803
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,21,0.44312485680087915
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,22,0.44231913874146406
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,23,0.44153575771840076
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,24,0.44077274441484154
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,25,0.4400285445576041
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,26,0.43930190152489623
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,27,0.4385917743870223
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,28,0.4378972804254236
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,29,0.4372176546357077
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,30,0.43655222105916897
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,31,0.4359003723794726
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,32,0.43526155531175903
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,33,0.4346352600623892
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,34,0.4340210126570126
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,35,0.43341836929533456
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,36,0.43282691214223246
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,37,0.43224624614039076
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,38,0.4316759965524962
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,39,0.43111580702722546
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,40,0.4305653380437914
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,41,0.4300242656323913
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,42,0.42949228029786923
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,43,0.4289690860950163
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,44,0.42845439981881595
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,45,0.42794795028343174
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,46,0.4274494776711395
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,47,0.4269587329376322
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,48,0.4264754772638144
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,49,0.42599948154681055
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,50,0.42553052592476237
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,51,0.4250683993312947
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,52,0.42461289907646327
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,53,0.424163830451668
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,54,0.4237210063564836
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,55,0.4232842469457207
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,56,0.4228533792952733
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,57,0.4224282370855064
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,58,0.4220086603010806
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,59,0.42159449494621526
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,60,0.42118559277449663
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,61,0.4207818110323908
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,62,0.42038301221569885
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,63,0.4199890638382333
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,64,0.419599838212048
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,65,0.41921521223858893
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,66,0.41883506721017627
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,67,0.4184592886212599
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,68,0.4180877659889212
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,69,0.4177203926821271
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,70,0.4173570657592683
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,71,0.41699768581354035
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,72,0.41664215682575007
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,73,0.4162903860241559
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,74,0.41594228375096876
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,75,0.4155977633351655
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,76,0.4152567409712813
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,77,0.4149191356038716
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,78,0.41458486881734685
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,79,0.4142538647309019
learning_rate_sensitivity,Batch GD,1.0,,0.0001,42,80,80,0.41392604989827886
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,1,0.4606086166311136
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,2,0.45466358210846836
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,3,0.4503023801955236
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,4,0.44650351899741203
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,5,0.4430942991938432
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,6,0.44000359862656707
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,7,0.4371818437851926
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,8,0.43458950246735206
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,9,0.43219420903951167
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,10,0.4299692456302147
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,11,0.4278924242339018
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,12,0.42594521056021994
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,13,0.42411203183561175
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,14,0.422379728528681
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,15,0.42073711849734147
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,16,0.4191746488883163
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,17,0.41768411668124533
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,18,0.41625844313863064
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,19,0.41489149078667215
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,20,0.4135779141221293
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,21,0.4123130372015595
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,22,0.41109275276878476
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,23,0.40991343872687047
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,24,0.4087718886472693
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,25,0.4076652536948064
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,26,0.4065909938806876
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,27,0.4055468369725803
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,28,0.404530743718132
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,29,0.40354087829649554
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,30,0.402575583117083
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,31,0.4016333572477139
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,32,0.4007128378846464
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,33,0.39981278438166723
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,34,0.39893206443987295
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,35,0.3980696421281848
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,36,0.3972245674602927
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,37,0.3963959672991525
learning_rate_sensitivity,Batch GD,4.0,,0.0001,42,80,38,0.3955830373974093
